DetectorID,Location
138.2.55,I-15 NB between I-15 NB Wash./D-Street Off-Ramp and I-15 NB Washington/D-St On-Ramp
167.1.531,US-95 NB between I-15 NB to US-95 NB Ramp and US-95 NB Rancho Off-Ramp
70.2.21,I-15 NB between I-15 NB Tropicana On-Ramp and I-15 NB Flamingo EB Off-Ramp
482.1.236,CC-215 EB between Pecos Road and Carnegie Dr
371.1.392,I-515 SB between College Drive and Appian Drive
515.2.154,I 15 Exp NB between Wigwam Avenue and Pebble
522.1.17,I-15 NB CD between Hacienda Avenue and Russell Road
103.2.40,I-15 SB Sahara WB Off-Ramp between I-15 SB and Sahara Avenue
74.1.22,I-15 NB Flamingo On-Ramp between Flamingo Road and I-15 NB
415.2.214,US-95 NB between Lake Mead Boulevard and Rainbow Boulevard
536.1.100,I-15 NB Jean Off Ramp between I-15 NB and Jean
59.1.18,I-15 NB between I-15 NB Tropicana Off-Ramp and I-15 NB Tropicana On-Ramp
606.2.489,CC-215 EB between I-515 SB College On Ramp and Charleston Boulevard
117.2.766,I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp
129.2.751,I-15 NB to US-95 SB Ramp between I-15 NB and I-515 SB
502.1.269,CC-215 WB between Jones Boulevard and Torrey Pines Drive
352.2.321,I-15 SB between Barbara Lane and Erie Avenue
202.1.69,I-515 SB between I-515 SB LV Blvd On-Ramp and I-515 SB Eastern Off-Ramp
405.3.721,US-95 SB between Torrey Pines Drive and Rainbow Boulevard
493.1.123,CC-215 WB between Eastern Avenue and Spencer St
421.2.506,US-95 NB between Clark County 215 and Ann Road
688.2.519,US-95 SB between Tropical and Clark County 215
609.2.477,CC-215 EB between I-515 SB to Lake Mead Dr and Flamingo Road
405.1.213,US-95 SB between Torrey Pines Drive and Rainbow Boulevard
5.739.460,CC-215 EB between  and 
89.2.30,I-15 NB between I-15 NB Spring Mtn WB On-Ramp and I-15 NB Desert Inn On-Ramp
465.4.88,I 15 Exp SB between Patrick Lane and CC-215 WB
417.1.216,US-95 NB between Cheyenne Avenue and Half Moon Bay
112.2.44,I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp
506.1.272,CC-215 EB between Buffalo and Tenaya
371.2.393,I-515 SB between College Drive and Appian Drive
386.2.398,I-515 NB between College Drive and Bitterroot Street
138.1.53,I-15 NB between I-15 NB Wash./D-Street Off-Ramp and I-15 NB Washington/D-St On-Ramp
347.1.69,I-515 SB LV Blvd On-Ramp 3 between Las Vegas Boulevard and I-515 SB
422.2.328,I-15 SB between Roban Street and Saint Rose Parkway
603.1.501,CC-215 EB between Cheyenne Avenue and Lake Mead Boulevard
127.1.531,I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB
167.1.753,US-95 NB between I-15 NB to US-95 NB Ramp and US-95 NB Rancho Off-Ramp
570.1.108,I-515 SB to Lake Mead Dr between I-515 SB and Frank Sinatra Drive
190.1.74,I-515 SB between I-15 SB to US-95 Ramp and I-515 SB Casino Ctr Off-Ramp
203.2.67,I-515 NB between I-515 NB Eastern On-Ramp and I-515 NB LV Blvd Off-Ramp
492.1.194,CC-215 WB between Pecos Road and McLeod Dr
161.1.242,I-15 SB between Cartier Avenue and I-15 SB  Lake Mead Off-Ramp
467.2.246,I-15 NB Cheyenne Ave Off Ramp between I-15 NB and Cheyenne Avenue
218.1.280,I-515 SB between I-515 SB Charleston On-Ramp and I-15 SB Boulder Off-Ramp
503.1.271,CC-215 WB between Rainbow Boulevard and Tenaya
80.2.24,I-15 SB Flamingo EB Off-Ramp between I-15 SB and Flamingo Road
122.2.48,I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp
387.2.406,I-515 NB between Bitterroot Street and Wagon Wheel Drive
482.2.237,CC-215 EB between Carnegie Dr and Green Valley Pkwy
417.2.230,US-95 NB between Cheyenne Avenue and Half Moon Bay
528.3.76,I-15 SB CD between Sunset Road and Oquendo
215.2.362,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp
707.4.740,I-11 SB between Buchanan Blvd and Hoover Dam Bridge Int/93
423.1.329,I-15 SB between Sloan Road and Roban Street
623.1.480,I-215 SB TownCenter OffRamp between I-515 SB to Lake Mead Dr and Flamingo Road
2.2.267,CC-215 EB between I-215 EB Decatur Off-Ramp and I-215 EB Decatur On-Ramp
216.1.365,I-515 NB Charleston Off-Ramp between I-515 NB and Charleston Boulevard
448.2.354,I-15 NB between 8.71 Miles south of Sloan Road and 9.71 Miles south of Sloan Road
375.3.166,I-515 NB between Viking Road and Dell Santos Drive
627.1.489,I-215 SB Charleston OffRamp between Sunset Road and Durango
117.3.767,I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp
170.2.761,I-15 SB MLK/Charleston On-Ramp between Martin Luther King Boulevard and I-15 SB
148.2.58,I-15 NB between I-15 NB  Lake Mead EB Off-Ramp and I-15 NB Lake Mead WB Off-Ramp
431.1.349,I-15 SB between 7.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
205.1.66,I-515 SB Eastern Off-Ramp between I-515 SB and Eastern Avenue
